SL.,NCR REPORT NO.,DATE OF NCR ,DATE  OF DETECTION,ITEM DESCRIPTION,NCR Description,Part Number,"Modified or Unmodified
FMI",Failure After FMI,Faulty Sl. No.,Healthy Sl. No.,ISSUED BY,Qty.,SUB-SYSTEM, Train No,CAR,RESPONSIBILITY (VENDOR/BEML),STATUS,ITEM REPAIRED/ RECOUPED,ITEM REPLACED (IF ANY),DATE OF REPAIRED/REPLACED,SOURCE,DATE OF INVESTIGATION REPORT RECEIVED,"NCR CLOSED BY DOC.,",GATE PASS           S/No,Remarks,IR Printed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCR-BEML RS3R-T&C-CPD-012,02/Jul/18,02/Jul/18,TRCC Unit,"There was a short circuit in TRCC in DM2 bogie 2 LH side (A) which caused spark at TRCC shoe at DM2 bogie 1 RH side (B).
It was further observed that TRCC shoe of (A), Bracket & Cable of (B) have got severely damaged. All these components can not be reused.",,,,"SG533.01 (Bracket)- 1
HV550 (Cable)- 1
SG164.03.07 (Shoe)- 1",___,Suraj Pd Barnwal,1 no. each,TRCC,1,DM-2,BEML Factory,OPEN,,,,,,,,Material awaited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NCR-BEML RS3R-T&C-CPD-012A,02/Jul/18,02/Jul/18,TRCC Unit,"There was a short circuit in TRCC in DM2 bogie 2 LH side (A) which caused spark at TRCC shoe at DM2 bogie 1 RH side (B).
It was further observed that TRCC shoe of (A), Bracket & Cable of (B) have got severely damaged. All these components can not be reused.",,,,,,Suraj Pd Barnwal,1,TRCC,02,DM-1,M/s BEML/Insurance,OPEN,,,,,,,Insurance,Material awaited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NCR-BEML RS3R-T&C-CPD-013,03/Jul/18,03/Jul/18,RY-12 Card,"There was a short circuit in TRCC in DM2 bogie 2 LH side (A) which caused spark at TRCC shoe at DM2 bogie 1 RH side (B) and progressively damaged VVVF control box in complete trainset.
It was further observed that RY-12 cards of DMC1 (1no), DMC2 (1 no) & MC2 (2 nos) have got severely damaged.",,,,Part No: HX45281 (RY 12 card),___,Pritesh,4,Propulsion,01,"DM-1,DM-2,M-2",M/s BEML/Insurance,CLOSED,REPLACED,RY-12 Card,30.07.2018,REPLACEMENT BY BEML,,,Insurance,Material received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NCR-BEML RS3R-T&C-CPD-014,24/Jul/18,24/Jul/18,Brake Pad,TS#01 T1 Axle-1 inner lower half of brake pad found missing during brake check. Note: Upper half portion of brake pad is availabe and is there in locked condition. ,,,,___,___,,1,Brake,01,T-1,BEML Factory,CLOSED,REPLACED,Brake Pad,11.12.2018,CANNIBALISATION,04.07.2019,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCR-BEML RS3R-T&C-CPD-015,02/Aug/18,31/Jul/18,Screw of temporary supporting device,"After mainline movement of TS#01 on 31.07.18, it was found that screw of temporary supporting device were tilted. Simultaneously, it was checked for TS#02 & TS#03 also. There also it was found that screw of temporary supporting device was tilted.",,,,___,___,Shilpa Sahu,16,,"1,
2,
3",,BEML Factory,CLOSED,,,,,Received,,,"2 nos. received from factory on 09.02.21. 14 nos. not received. However, it is being used for coupling-uncoupling of SPC coupler. So, it can be managed from spares available in store.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NCR-BEML RS3R-T&C-CPD-016,04/Aug/18,31/Jul/18,Cab saloon partition door,Dimensional error. Door locks are not matching with locking grooves of the car body.,,,,Assy Dwg No: 94214003D,___,Shilpa Sahu,4,Interior,"1,2","1. DM-1 & DM-2
2. DM-1 & DM-2",BEML Factory,CLOSED,,,,,Received,,,Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,NCR-BEML RS3R-T&C-CPD-017,09/Aug/18,06/May/18,Door Control Unit (DCU),Baud rate for communication with TCMS is 125 KBPS whereas baud rate for supplied DCU is found to be 38.4 KBPS.,3ED01922R20,,,315281-00000120,___,,48,Door,01,,M/s KBI,CLOSED,REPLACED,DCU Unit,27.09.2018,REPLACEMENT BY VENDOR,06.12.2019,,NA,Fleet Replacement Report Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NCR-BEML RS3R-T&C-CPD-018,08/Sep/18,07/Sep/18,CID01A  Card,"CID card was not communicating locally with Laptop and software could not be loaded from local point. However, the card was communicating with trainline and software was loaded from TS#02 other BECU (DM-2).",,,,ZO8251566,ZO8191506,,1,Brake,02,M-2,M/s KBI,CLOSED,REPLACED,CID01A  Card,11.09.2018,REPLACEMENT BY VENDOR,06.08.2019,,NA,Card Formatted and SW re-loaded by KBI. Status of CID01A Card # ZO8251566 to be updated by KBI.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,NCR-BEML RS3R-T&C-CPD-019,02/Jun/18,02/Jun/18,DIS 3 Card,TBC CB was tripping during static test of powering. DIS-3 Card found burnt. MELCO revised the interface drawing and problem was rectified.,,,,DL47961PO,___,Suraj Pd Barnwal,1,TCMS,02,DM-2,M/s MELCO,OPEN,,,,,To be checked,,65,Material recouped. IR pending.,"MELCO has replaced the card.
No IR expected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NCR-BEML RS3R-T&C-CPD-020,05/Sep/18,05/Sep/18,DIS 3 Card,"While connecting connector for uploading TCMS software, RIO, CN11 pin was found bent. ",,,,DL47962PO,___,Suraj Pd Barnwal,1,TCMS,02,DM-2,M/s MELCO,CANCELED,,,,,To be checked,,NA,"NCR 20 changed to NCR 20A. Material given in DLP by BEML to MELCO, CPD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
